comment_text,Matches_isin_str
"@USER: Man kann natürlich immerzu dieselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außerdem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","alte, amigo, esel, hund, hunde, linke, sau"
"@MEDIUM ...stimmt so nicht ganz: bespiel ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte das klima offenbar ebenfalls ""verrückt""🤨","alte, alter"
"Warum man diesen Typen einlädt wird sich mir nie erschließen..... Nordkorea nix passiert , China hat man auch nicht in die Knie gezwungen..... Rassismus und Polarisierung wo man hinschaut in den USA.... und von Demokratie kaum zu reden muss man sich nur mal 9/11 von Herrn Moore anschauen. Die USA sind kein Vorbild mehr und schaffen Sich mit Trump gerade selbst ab.... niemand wird das mehr freuen als die Kommunisten in China und Russland..... Etwas muss man ihm jedoch lassen er verpackt es in einfache Worte die selbst der Dümmste versteht und redet nicht um den heissen Brei....das sollten sich die Möchtegern Politiker in Deutschland mal aneignen, hier hat man nur noch das subjektive Gefühl es wird stundenlang geredet und nichts gesagt","affe, affen, assi, dümmste, möchtegern, pack, rassismus, typen"
@USER Pest und Cholera.,pest
"Abgesehen davon werden alte Autoreifen als Brennstoff für die Betonproduktion benutzt. Diese kann man aber runderneuern, und die Kautschukplantagen sind auch problematisch. Hintergrund: https://www.ardmediathek.de/ard/video/die-story/schmutzige-reifen-ein-milliardengeschaeft/wdr-fernsehen/Y3JpZDovL3dkci5kZS9CZWl0cmFnLTBjMmFlNGJjLTg4NGItNGJkMi1iZTIyLTMwZTlkZjAwNjNmYQ/","alte, schmutz"
Was nützt das Labern?,labern
Warum wird ein gesunder Mischwald abgeholzt für eine Autobahn? #Dannibleibt #keineA49,bah
"@MEDIUM Die Sichtweise von Herrn Spenner wirkt doch sehr vernünftig, denke ich.",penner
"Liebe Freunde, der Mordversuch an Nawalny ist ein unentschuldbares Verbrechen. Die Forderung nach Aufklärung ist daher berechtigt. Auch ich protestiere und fordere Aufklärung. Echte Aufklärung, keine Vorverurteilungen. 1. Wenn Putin Nawalny töten wollte, warum erlaubte er dann ausdrücklich, dass Nawalny zur medizinischen Rettung nach Deutschland ausgeflogen wurde? 2. Warum sollte Putin für „geheime“ Ermordungen seltsamerweise immer wieder das gleiche Gift einsetzen, das immer sofort mit Russland in Verbindung gebracht wird? 3. Warum wird bei uns immer der Eindruck erweckt, nur Russland verfüge über den Kampfstoff Nowitschok, obwohl der Mitentwickler dieses Giftes inzwischen in den USA lebt und - laut Financial Times - sogar Ex-Wirecard-Boss Marsalek im Besitz der Rezept-Formel war und diese 2018 stolz in London herumzeigte? 4. Warum werden die Forderungen, man müsste jetzt das Nord Stream 2-Projekt mit Russland beenden immer lauter, obwohl es noch keinerlei Klarheit im Fall Nawalny gibt? Hat Deutschland den Nord Stream-Deal nicht auch im deutschen Interesse abgeschlossen? Das war doch kein Geschenk an Russland. Bestrafen wir uns demnächst selbst? 5. Soll Deutschland jetzt wirklich auch noch auf russisches Erdgas verzichten, nachdem es 2023 als einziges Land der Welt gleichzeitig aus Atom und Kohle aussteigen wird? Um stattdessen amerikanisches Fracking zu kaufen? Nach dem Motto: Lieber noch mehr Umweltzerstörung, als Gas aus Russland? 6. Was ist mit unseren moralischen Prinzipien, wenn es um unseren Pkw-Sprit geht? Der saudische Knochensägenmord an Khashoggi hat uns nicht dran gehindert, weiterhin Energiegeschäfte mit den Saudis zu machen. Nawalny lebt, Khashoggi ist tot. Zerstückelt, irgendwo verscharrt. Moral? 7. Warum protestiert die Bundesregierung nie, wenn US-Präsidenten (persönlich) fast regelmäßig in Somalia, Jemen usw. Zivilpersonen durch Drohnen hinrichten lassen? Mitsamt Familien und Kindern. Ohne Gerichtsurteil. Sind über Ramstein gesteuerte US-Morde gute Morde? Wenn es um Russland geht, ist die deutsche Politik ein aufgeregt gackernder Hühnerhaufen. So löst die Bundesregierung kein Problem. Euer JT","brechen, haufen, hühner, mord, sau, tot, töten, zerstörung"
"Es ist traurig, dass ein Austritt aus diesem Abkommen über 3 Jahre gedauert hat und ein Beitritt direkt am 1. Amtstag von Biden wieder möglich sein soll. Das wird ein trauriger Tag für alle Amerikaner sein, die dann ebenfalls unter einer deutlich höheren Steuerlast leiden müssen. Wir Deutschen müssen diese Klimahysterie ja schon ab dem 1. Januar gnadenlos im Geldbeutel spüren!",klimahysterie
