comment_text,matches_string
"@USER , ich glaube,Sie verkrnnen gründlich die Situation. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es geht nicht ums Militär","deutschland, letzte"
"@USER: Man kann natürlich immerzu dieselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außerdem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","sau, hund, linken, esel, alten, alte, skandal, amigo, linke, skandale, tiere, hunde, halt"
"@MEDIUM ...stimmt so nicht ganz: bespiel ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte das klima offenbar ebenfalls ""verrückt""🤨","lal, alte, alter"
"Warum man diesen Typen einlädt wird sich mir nie erschließen..... Nordkorea nix passiert , China hat man auch nicht in die Knie gezwungen..... Rassismus und Polarisierung wo man hinschaut in den USA.... und von Demokratie kaum zu reden muss man sich nur mal 9/11 von Herrn Moore anschauen. Die USA sind kein Vorbild mehr und schaffen Sich mit Trump gerade selbst ab.... niemand wird das mehr freuen als die Kommunisten in China und Russland..... Etwas muss man ihm jedoch lassen er verpackt es in einfache Worte die selbst der Dümmste versteht und redet nicht um den heissen Brei....das sollten sich die Möchtegern Politiker in Deutschland mal aneignen, hier hat man nur noch das subjektive Gefühl es wird stundenlang geredet und nichts gesagt","assi, affe, deutschland, gerede, möchtegern, doch, kommunisten, kommunist, sag, typen, pack, dümmste, affen, rassismus, subjekt, kommu, enl"
"@USER Merkel tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von daher sollte es Sie schon interessieren, weil Deutschland Expotweltmeister ist.",deutschland
"Wenn es der Regierung bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in Deutschland endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 Ausstoß um 50% verringert!","deutschland, nahm"
@USER Pest und Cholera.,pest
@USER und mit Maßnahmen auch. Verzweifelte die um ihre Existenz kämpften und kämpfen....,"nahm, verzweifelte"
"Abgesehen davon werden alte Autoreifen als Brennstoff für die Betonproduktion benutzt. Diese kann man aber runderneuern, und die Kautschukplantagen sind auch problematisch. Hintergrund: https://www.ardmediathek.de/ard/video/die-story/schmutzige-reifen-ein-milliardengeschaeft/wdr-fernsehen/Y3JpZDovL3dkci5kZS9CZWl0cmFnLTBjMmFlNGJjLTg4NGItNGJkMi1iZTIyLTMwZTlkZjAwNjNmYQ/","schmutzige, neuer, alte, schmutzig, schmutz"
@USER Das stimmt @USER aber mit einem Unterschied: Herr Weinberg ist deutlich besser informiert als D.T. ...,unterschie
Was nützt das Labern?,"laber, labern"
Warum wird ein gesunder Mischwald abgeholzt für eine Autobahn? #Dannibleibt #keineA49,bah
@USER Wissen sie was oder reden Sie einfach auch völlig unfundiert daher? Wenn sie was wissen lassen sie uns an ihrem Wissen teilhaben!,fundi
"@MEDIUM Die Sichtweise von Herrn Spenner wirkt doch sehr vernünftig, denke ich.","doch, penner"
"Liebe Freunde, der Mordversuch an Nawalny ist ein unentschuldbares Verbrechen. Die Forderung nach Aufklärung ist daher berechtigt. Auch ich protestiere und fordere Aufklärung. Echte Aufklärung, keine Vorverurteilungen. 1. Wenn Putin Nawalny töten wollte, warum erlaubte er dann ausdrücklich, dass Nawalny zur medizinischen Rettung nach Deutschland ausgeflogen wurde? 2. Warum sollte Putin für „geheime“ Ermordungen seltsamerweise immer wieder das gleiche Gift einsetzen, das immer sofort mit Russland in Verbindung gebracht wird? 3. Warum wird bei uns immer der Eindruck erweckt, nur Russland verfüge über den Kampfstoff Nowitschok, obwohl der Mitentwickler dieses Giftes inzwischen in den USA lebt und - laut Financial Times - sogar Ex-Wirecard-Boss Marsalek im Besitz der Rezept-Formel war und diese 2018 stolz in London herumzeigte? 4. Warum werden die Forderungen, man müsste jetzt das Nord Stream 2-Projekt mit Russland beenden immer lauter, obwohl es noch keinerlei Klarheit im Fall Nawalny gibt? Hat Deutschland den Nord Stream-Deal nicht auch im deutschen Interesse abgeschlossen? Das war doch kein Geschenk an Russland. Bestrafen wir uns demnächst selbst? 5. Soll Deutschland jetzt wirklich auch noch auf russisches Erdgas verzichten, nachdem es 2023 als einziges Land der Welt gleichzeitig aus Atom und Kohle aussteigen wird? Um stattdessen amerikanisches Fracking zu kaufen? Nach dem Motto: Lieber noch mehr Umweltzerstörung, als Gas aus Russland? 6. Was ist mit unseren moralischen Prinzipien, wenn es um unseren Pkw-Sprit geht? Der saudische Knochensägenmord an Khashoggi hat uns nicht dran gehindert, weiterhin Energiegeschäfte mit den Saudis zu machen. Nawalny lebt, Khashoggi ist tot. Zerstückelt, irgendwo verscharrt. Moral? 7. Warum protestiert die Bundesregierung nie, wenn US-Präsidenten (persönlich) fast regelmäßig in Somalia, Jemen usw. Zivilpersonen durch Drohnen hinrichten lassen? Mitsamt Familien und Kindern. Ohne Gerichtsurteil. Sind über Ramstein gesteuerte US-Morde gute Morde? Wenn es um Russland geht, ist die deutsche Politik ein aufgeregt gackernder Hühnerhaufen. So löst die Bundesregierung kein Problem. Euer JT","haufen, deutschland, brechen., sau, doch, haufe, morde, töte, mord, brechen, hühner, töten, tot, zerstörung, tiere"
"Es ist traurig, dass ein Austritt aus diesem Abkommen über 3 Jahre gedauert hat und ein Beitritt direkt am 1. Amtstag von Biden wieder möglich sein soll. Das wird ein trauriger Tag für alle Amerikaner sein, die dann ebenfalls unter einer deutlich höheren Steuerlast leiden müssen. Wir Deutschen müssen diese Klimahysterie ja schon ab dem 1. Januar gnadenlos im Geldbeutel spüren!","klimahysterie, beutel, gnadenlos, enl"
@USER und was ist Ihre Lösung 😒 ein e auto kann immerhin einen Kreislauf erzeugen und co2 neutral fahren 🤔 Mit dem Rest sind wir im Einklang,fahren
"Die Politik der Administration Trump war in der Tat nicht schlecht (Friedensinitiative Nahost, Handelspolitik, Wirtschaftspolitik vor Corona,...), aber diese polemisierende Art spaltet zu sehr das Land.",alte
@USER wir wissen doch alle wo dieser Kampfstoff herkommt und wer Putin ist wenn nicht schaust du mal nach in google bekommst du die Antwort😉,doch
"@USER Selbstverständlich. Wobei auch hier das Geld nichts bringt, wenn man viele Sachen aktuell gar nicht machen kann. Unabhängig davon, wie viel Mitleid man persönlich vielleicht für solche Personengruppen empfindet.","mitleid, gruppen"
@MEDIUM ich höre immer wenn es um Kirche und glauben geht. Danke für ihren Kommentar. Sind es für sie zu wenig Leute die hinter der Religion stehen. Bei dem Thema. Dann alles Gute.,leute
"@USER genau deswegen haben wir Snowden oder Assange auch Asyl gewährt! Sobald es Russlandfeindlich ist, sind die Arme der deutschenh Politiker offen :)","arme, feind"
"In dieser Sachlage darf man die Aussage von George Friedman definitv nicht außer Acht zu lassen: ""Für die Vereinigten Staaten ist es das Hauptziel, dass deutsches Kapital und deutsche Technologien und die russischen Rohstoff-Ressourcen und die russische Arbeitskraft sich zu einer einzigartigen Kombination verbinden, die die USA seit einem Jahrhundert zu verhindern versuchen."" Bühnenauftritt u.a. auf Youtube: George Friedman @The Chicago Council on Global Affairs 2015 Nochmal: ""die die USA seit einem Jahrhundert zu verhindern versuchen."" Hier werden Think-Tanks bezahlt, um eben genau dies zu verhindern. Da sitzen Leute, die sich den ganzen Tag lang über nichts anderes Gedanken machen als einen Keil zwischen die deutsch-russischen Beziehungen zu treiben. Bzw. Strategien dafür auszuarbeiten. Und das ist nicht unbekannt aber aus der deutschen Regierung hat beinahe niemand den Mut dies anzusprechen. Hier steckt sehr viel Geld, Macht und geostrategische Interessen hinter. Glaubt hier ernsthaft irgendjemand, dass dass alles treu gesetzeskonform und gewaltfrei abläuft? Putin war jahrlang selbst beim Geheimdienst. Ihm so eine Navalny-Dummheit pauschal zu unterstellen ist schon beinahe als äußerst naiv zu bewerten. Diese perfide Art, wie seit Jahren gegen Russland gehetzt wird, ist äußerst befremdlich. Und ja, natürlich steckt da eine Strategie dahinter. Wer das noch nicht erkannt hat, sollte dann langsam doch mal anfangen sich zu informieren.","dummheit, hund, doch, dumm, hetzt, sag, naiv, auft, leute, gehetzt, hunde, youtube"
"Tzz, tzz, tzz.... Ich sehe hingegen mehr U60, die sich nicht an die Maßnahmen halten (wollen). Wohl sehr regional und klar subjektiv zu bewerten.","olle, ollen, alten, alte, nahm, subjekt, halt"
"Warum vergleichen wir uns wiedermal mit anderen? Wir sollten die „Freiheit“ doch genieße und nicht in Frage stellen solange es mit bedacht und mit aller nötigen Sorgfalt angenommen wird. Wir können doch sehr froh darüber sein, dass es möglich ist, etwas zur Normalität über zu gehen im Gegensatz zu anderen Ländern & Städten. Man sollte auch nicht vergessen das der Fußball in Deutschland ein enormer Wirtschaftsfaktor ist. Andere Konzerne wurden doch sich mit Millionen € geholfen wurde... das die Gehälter sehr hoch sind liegt mit Sicherheit nicht an Corona und sonstiges. Die Manager in den Konzernen werden sicherlich auch Nicht auf alles verzichten!","deutschland, doch"
Nein vielen Dank ich stehe mit Corona auf und wenn ich ins Bett gehe will ich weder den Namen Corona noch Trump hören da wird mir schlecht 🤮,🤮
Man meckert über Trump wie schlecht er doch ist und wegen Corona - Hier wird Panik verbreitet alles ganz schlimm - Reisen soll man unterlassen aber die Grenzen sind immer noch offen? Wo es doch in den Nachbarländern ganz schlimm ist? Da kann jeder alles einschleppen an Corona? Die rein und raus fahren denen kann man nicht ansehen ob sie einen Virus haben. Trump ist erfrischend und macht Mut - nicht wie bei uns wo man jeden Tag nur Ängste schürt und man bald sterben könnte wenn man nicht brav ist.. Gruselig - etwas Mut braucht der Mensch.,"fahren, doch, meckert, schlimm, panik"
"Ich bin alt(66), mir hat Corona viel mehr verbleibende Zeit gestohlen. Es macht keinen Unterschied wem diese Zeit gestohlen wird, sie ist verlohren.",unterschie
"@USER Dass es schon immer so war, ist erwiesenermaßen falsch. Als die Demokraten noch für Sklaverei eintraten, waren die Republikaner für die Abschaffung dieser. Erst mit Harding als Präsident wandelten sich die Republikaner zu einer konservativen Partei.","demokraten, sklave"
🤔mal gucken ob 2016 wieder geschehen ist,hehe
"@USER Danke, das geht mir jetzt aber runter wie Öl. Diese Geschichte beschäftigt mich schon seit 1968. Damals als Marine-Soldat hatte ich die Aufgabe, einen 2 stündigen Vortrag über die Situation der Afroamerikaner zu halten. Nach langer Vorbereitung und großem Erfolg des Vortrags hat mich dieses Thema bis jetzt, nie mehr losgelassen.","alten, alte, halt"
